full_url,event_time,hostname,injection
/details.php?prod=5&type=%3F%27%20AND%205104%3D5104%20AND%20%27oYMl%27%3D%27oYMl,1681395121.09645,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%20AND%203479%3D7998%20AND%20%28%27yyoM%27%20LIKE%20%27yyoM,1681395121.100963,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%20AND%205104%3D5104%20AND%20%28%27Geve%27%20LIKE%20%27Geve,1681395121.104047,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%29%20AND%207104%3D8936%20AND%20%28%28%27CECy%27%20LIKE%20%27CECy,1681395121.108701,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%29%20AND%205104%3D5104%20AND%20%28%28%27DEgJ%27%20LIKE%20%27DEgJ,1681395121.112996,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%29%29%20AND%209598%3D1778%20AND%20%28%28%28%27WsZx%27%20LIKE%20%27WsZx,1681395121.116415,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%29%29%20AND%205104%3D5104%20AND%20%28%28%28%27LJTI%27%20LIKE%20%27LJTI,1681395121.120735,192.168.43.6,1
/details.php?prod=5&type=%3F%25%27%20AND%203184%3D9462%20AND%20%27ZUHe%25%27%3D%27ZUHe,1681395121.125832,192.168.43.6,1
/details.php?prod=5&type=%3F%25%27%20AND%205104%3D5104%20AND%20%27BNTu%25%27%3D%27BNTu,1681395121.130822,192.168.43.6,1
/details.php?prod=5&type=%3F%27%20AND%203152%3D1648%20AND%20%27KQSl%27%20LIKE%20%27KQSl,1681395121.135601,192.168.43.6,1
/details.php?prod=5&type=%3F%27%20AND%205104%3D5104%20AND%20%27YEIt%27%20LIKE%20%27YEIt,1681395121.13938,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%20AND%208266%3D3927%20AND%20%28%22IxGf%22%3D%22IxGf,1681395121.143579,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%20AND%205104%3D5104%20AND%20%28%22FOvm%22%3D%22FOvm,1681395121.147383,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%29%20AND%205685%3D1202%20AND%20%28%28%22gqpJ%22%3D%22gqpJ,1681395121.151095,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%29%20AND%205104%3D5104%20AND%20%28%28%22Hgcq%22%3D%22Hgcq,1681395121.156044,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%29%29%20AND%202049%3D4205%20AND%20%28%28%28%22JGas%22%3D%22JGas,1681395121.159976,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%29%29%20AND%205104%3D5104%20AND%20%28%28%28%22Rfka%22%3D%22Rfka,1681395121.163618,192.168.43.6,1
/details.php?prod=5&type=%3F%22%20AND%201379%3D1933%20AND%20%22ReQj%22%3D%22ReQj,1681395121.167495,192.168.43.6,1
/details.php?prod=5&type=%3F%22%20AND%205104%3D5104%20AND%20%22QTMn%22%3D%22QTMn,1681395121.171359,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%20AND%207318%3D8787%20AND%20%28%22hgph%22%20LIKE%20%22hgph,1681395121.175334,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%20AND%205104%3D5104%20AND%20%28%22hebE%22%20LIKE%20%22hebE,1681395121.178864,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%29%20AND%203973%3D1649%20AND%20%28%28%22HifU%22%20LIKE%20%22HifU,1681395121.182828,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%29%20AND%205104%3D5104%20AND%20%28%28%22sIqv%22%20LIKE%20%22sIqv,1681395121.186419,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%29%29%20AND%205091%3D9637%20AND%20%28%28%28%22UMhb%22%20LIKE%20%22UMhb,1681395121.190602,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%29%29%20AND%205104%3D5104%20AND%20%28%28%28%22RLHs%22%20LIKE%20%22RLHs,1681395121.194052,192.168.43.6,1
/details.php?prod=5&type=%3F%22%20AND%204429%3D9146%20AND%20%22Ugga%22%20LIKE%20%22Ugga,1681395121.197784,192.168.43.6,1
/details.php?prod=5&type=%3F%22%20AND%205104%3D5104%20AND%20%22yehE%22%20LIKE%20%22yehE,1681395121.20209,192.168.43.6,1
/details.php?prod=5&type=%3F%20AND%205352%3D5563--%20eYpV,1681395121.206102,192.168.43.6,1
/details.php?prod=5&type=%3F%20AND%205104%3D5104--%20lWCP,1681395121.209851,192.168.43.6,1
/details.php?prod=5&type=%3F%20AND%202379%3D3691%23%20Wcsa,1681395121.213988,192.168.43.6,1
/details.php?prod=5&type=%3F%20AND%205104%3D5104%23%20CGUV,1681395121.217159,192.168.43.6,1
/details.php?prod=5&type=%3F%27%20AND%207998%3D9634%20OR%20%27PWuu%27%3D%27sndq,1681395121.269364,192.168.43.6,1
/details.php?prod=5&type=%3F%27%20AND%205104%3D5104%20OR%20%27dpWP%27%3D%27izAN,1681395121.273702,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%20WHERE%203161%3D3161%20AND%207815%3D5706--%20cJAi,1681395121.277873,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%20WHERE%202507%3D2507%20AND%205104%3D5104--%20FTPP,1681395121.281326,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%20WHERE%205934%3D5934%20AND%203984%3D7102--%20hldD,1681395121.285965,192.168.43.6,1
/details.php?prod=5&type=%3F%22%29%20WHERE%203038%3D3038%20AND%205104%3D5104--%20pxYc,1681395121.290045,192.168.43.6,1
/details.php?prod=5&type=%3F%29%20WHERE%201102%3D1102%20AND%208755%3D4347--%20lvBc,1681395121.294103,192.168.43.6,1
/details.php?prod=5&type=%3F%29%20WHERE%209593%3D9593%20AND%205104%3D5104--%20WzuW,1681395121.297695,192.168.43.6,1
/details.php?prod=5&type=%3F%27%20WHERE%201691%3D1691%20AND%207491%3D9341--%20aOYW,1681395121.304845,192.168.43.6,1
/details.php?prod=5&type=%3F%27%20WHERE%206335%3D6335%20AND%205104%3D5104--%20NKcY,1681395121.308656,192.168.43.6,1
/details.php?prod=5&type=%3F%22%20WHERE%207470%3D7470%20AND%204060%3D6675--%20LQTA,1681395121.313062,192.168.43.6,1
/details.php?prod=5&type=%3F%22%20WHERE%203159%3D3159%20AND%205104%3D5104--%20esQu,1681395121.316859,192.168.43.6,1
/details.php?prod=5&type=%3F%20WHERE%207451%3D7451%20AND%202466%3D6867--%20KcXs,1681395121.321197,192.168.43.6,1
